ID,Product,Country,State,PostalCode
2870,apple,USA,Delhi,859164
2871,banana,India,Tamil Nadu,510206
2872,date,India,Tamil Nadu,904894
2873,date,Australia,Punjab,709045
2874,elderberry,Australia,Tamil Nadu,192796
2875,cherry,UK,Punjab,158517
2876,elderberry,Canada,Haryana,257985
2877,banana,Canada,Haryana,964579
2878,apple,USA,Haryana,785501
2879,cherry,USA,Delhi,872158
2880,apple,USA,Karnataka,610321
2881,date,Australia,Karnataka,541363
2882,cherry,India,Karnataka,468557
2883,banana,Australia,Punjab,586229
2884,apple,India,Haryana,227706
2885,date,Australia,Haryana,917837
2886,cherry,India,Delhi,124472
2887,apple,USA,Tamil Nadu,288784
2888,cherry,Canada,Tamil Nadu,435730
2889,cherry,USA,Haryana,933040
2890,apple,UK,Tamil Nadu,618996
2891,apple,UK,Haryana,944155
2892,date,UK,Punjab,241805
2893,cherry,UK,Tamil Nadu,574636
2894,date,USA,Karnataka,712713
2895,apple,India,Karnataka,189918
2896,banana,UK,Punjab,890751
2897,elderberry,UK,Karnataka,306440
2898,elderberry,Australia,Delhi,738597
2899,cherry,USA,Karnataka,172036
2900,cherry,Australia,Tamil Nadu,872030
2901,date,USA,Haryana,147872
2902,elderberry,USA,Delhi,108870
2903,elderberry,India,Tamil Nadu,536858
2904,cherry,Canada,Tamil Nadu,398421
2905,elderberry,UK,Delhi,768077
2906,elderberry,India,Haryana,313351
2907,elderberry,USA,Haryana,290429
2908,cherry,UK,Haryana,898391
2909,cherry,India,Punjab,970402
2910,banana,India,Karnataka,733618
2911,cherry,Canada,Karnataka,367578
2912,apple,Australia,Tamil Nadu,761760
2913,apple,Canada,Punjab,222225
2914,elderberry,UK,Karnataka,839293
2915,date,UK,Delhi,713749
2916,banana,Australia,Haryana,702892
2917,date,Australia,Punjab,195952
2918,apple,Canada,Punjab,542355
2919,date,Australia,Punjab,279040
2920,date,Australia,Karnataka,140622
2921,cherry,Canada,Tamil Nadu,407012
2922,date,Australia,Tamil Nadu,579641
2923,apple,UK,Karnataka,686023
2924,elderberry,USA,Delhi,239046
2925,cherry,India,Haryana,685034
2926,apple,India,Delhi,778105
2927,elderberry,India,Punjab,865278
2928,elderberry,UK,Karnataka,166885
2929,cherry,India,Karnataka,530281
2930,cherry,Australia,Delhi,606850
2931,elderberry,Canada,Tamil Nadu,825044
2932,cherry,Canada,Delhi,864319
2933,cherry,UK,Punjab,337493
2934,cherry,USA,Haryana,130585
2935,banana,UK,Tamil Nadu,996385
2936,elderberry,UK,Tamil Nadu,629350
2937,date,USA,Haryana,965072
2938,cherry,USA,Haryana,294634
2939,apple,Australia,Tamil Nadu,622139
2940,apple,Australia,Haryana,336127
2941,apple,UK,Punjab,987062
2942,banana,Australia,Karnataka,954765
2943,cherry,USA,Haryana,111348
2944,date,India,Haryana,950882
2945,date,Australia,Delhi,380401
2946,date,Canada,Tamil Nadu,906058
2947,elderberry,Canada,Karnataka,335018
2948,apple,Canada,Punjab,570197
2949,elderberry,UK,Delhi,520651
2950,banana,USA,Haryana,126038
2951,banana,UK,Tamil Nadu,892034
2952,apple,USA,Delhi,986656
2953,date,Australia,Tamil Nadu,889228
2954,apple,Australia,Delhi,365324
2955,cherry,India,Tamil Nadu,835214
2956,banana,India,Delhi,469926
2957,apple,UK,Haryana,977399
2958,date,UK,Tamil Nadu,385271
2959,elderberry,UK,Punjab,500316
2960,elderberry,India,Punjab,852058
2961,date,UK,Karnataka,728716
2962,banana,India,Tamil Nadu,980680
2963,elderberry,Canada,Delhi,634647
2964,apple,Australia,Punjab,195260
2965,cherry,Australia,Haryana,219945
2966,banana,USA,Delhi,792291
2967,cherry,USA,Karnataka,478844
2968,elderberry,India,Haryana,891921
2969,apple,Canada,Punjab,160982
2970,cherry,Canada,Karnataka,367953
2971,date,Australia,Tamil Nadu,348403
2972,date,Australia,Tamil Nadu,364455
2973,date,UK,Punjab,776555
2974,cherry,UK,Delhi,481761
2975,banana,UK,Delhi,295387
2976,banana,Canada,Karnataka,645380
2977,elderberry,USA,Punjab,726726
2978,cherry,India,Tamil Nadu,909491
2979,elderberry,Canada,Tamil Nadu,456348
2980,apple,Canada,Delhi,526086
2981,banana,Canada,Delhi,778490
2982,cherry,Australia,Delhi,973883
2983,date,UK,Punjab,568073
2984,cherry,Australia,Delhi,471620
2985,date,USA,Haryana,328645
2986,banana,Australia,Punjab,200201
2987,apple,Canada,Haryana,638975
2988,apple,UK,Tamil Nadu,244016
2989,cherry,India,Haryana,309257
2990,apple,Canada,Haryana,946774
2991,banana,Australia,Tamil Nadu,220007
2992,cherry,India,Tamil Nadu,201610
2993,apple,Canada,Tamil Nadu,133099
2994,date,Canada,Haryana,446807
2995,cherry,Canada,Punjab,627327
2996,cherry,India,Karnataka,390866
2997,elderberry,USA,Tamil Nadu,283621
2998,banana,India,Karnataka,759979
2999,banana,USA,Delhi,401981
3000,apple,India,Karnataka,653655
3001,date,USA,Tamil Nadu,124781
3002,cherry,Canada,Tamil Nadu,761005
3003,banana,USA,Punjab,943645
3004,banana,Australia,Haryana,585991
3005,apple,UK,Karnataka,697650
3006,elderberry,UK,Punjab,987102
3007,elderberry,USA,Delhi,748625
3008,apple,Canada,Tamil Nadu,862757
3009,cherry,India,Delhi,389676
3010,elderberry,Canada,Haryana,280628
3011,date,UK,Delhi,531908
3012,date,USA,Tamil Nadu,656319
3013,cherry,UK,Haryana,679115
3014,apple,Canada,Haryana,285066
3015,elderberry,India,Karnataka,157139
3016,apple,USA,Delhi,880144
3017,date,India,Tamil Nadu,142747
3018,apple,UK,Tamil Nadu,340349
3019,date,Canada,Delhi,641872
3020,apple,USA,Punjab,625172
3021,banana,UK,Punjab,340611
3022,elderberry,USA,Haryana,958433
3023,elderberry,USA,Karnataka,387924
3024,elderberry,USA,Karnataka,380587
3025,banana,India,Delhi,807362
3026,elderberry,Canada,Karnataka,385402
3027,apple,Australia,Tamil Nadu,509709
3028,cherry,India,Haryana,756018
3029,banana,Canada,Punjab,654907
3030,cherry,Australia,Tamil Nadu,157506
3031,cherry,Canada,Karnataka,936739
3032,apple,UK,Punjab,660488
3033,banana,Australia,Karnataka,889356
3034,cherry,India,Karnataka,161464
3035,apple,Canada,Tamil Nadu,488884
3036,date,India,Punjab,897146
3037,cherry,Canada,Karnataka,610031
3038,banana,India,Karnataka,977445
3039,date,India,Tamil Nadu,167494
3040,banana,UK,Tamil Nadu,380042
3041,date,Canada,Punjab,710989
3042,banana,Canada,Punjab,559167
3043,cherry,Australia,Karnataka,585187
3044,date,Australia,Punjab,715176
3045,cherry,USA,Punjab,186232
3046,apple,Australia,Delhi,939400
3047,apple,UK,Punjab,182810
3048,banana,USA,Haryana,347339
3049,banana,USA,Tamil Nadu,942467
3050,banana,Canada,Haryana,731064
3051,cherry,India,Tamil Nadu,692425
3052,apple,UK,Delhi,448548
3053,date,India,Haryana,723950
3054,cherry,Australia,Delhi,950066
3055,cherry,USA,Delhi,195060
3056,apple,Australia,Punjab,654136
3057,elderberry,USA,Karnataka,754711
3058,cherry,Australia,Punjab,369912
3059,banana,India,Karnataka,346904
3060,banana,UK,Karnataka,760177
3061,elderberry,India,Punjab,728262
3062,cherry,Australia,Delhi,627356
3063,date,Canada,Delhi,834564
3064,date,UK,Tamil Nadu,333653
3065,elderberry,Canada,Haryana,866740
3066,banana,India,Punjab,928600
3067,banana,USA,Tamil Nadu,223787
3068,apple,USA,Delhi,742857
3069,date,USA,Punjab,439410
3070,apple,Canada,Tamil Nadu,545998
3071,cherry,USA,Karnataka,735988
3072,date,USA,Haryana,994900
3073,apple,USA,Haryana,359924
3074,apple,India,Tamil Nadu,321728
3075,banana,USA,Tamil Nadu,813154
3076,date,USA,Tamil Nadu,315668
3077,cherry,USA,Punjab,423541
3078,elderberry,UK,Delhi,171672
3079,elderberry,India,Tamil Nadu,395128
3080,elderberry,USA,Haryana,786129
3081,cherry,UK,Tamil Nadu,564765
3082,cherry,Canada,Haryana,834145
3083,cherry,UK,Haryana,900069
3084,elderberry,India,Delhi,493137
3085,date,Canada,Haryana,762524
3086,banana,UK,Karnataka,844554
3087,cherry,Canada,Delhi,610625
3088,elderberry,Australia,Delhi,703018
3089,banana,UK,Karnataka,547712
3090,banana,Canada,Haryana,902469
3091,apple,UK,Delhi,616281
3092,elderberry,Australia,Haryana,572186
3093,apple,Canada,Punjab,844210
3094,banana,Australia,Punjab,121867
3095,apple,India,Tamil Nadu,257985
3096,date,Canada,Tamil Nadu,584317
3097,elderberry,Canada,Delhi,999444
3098,date,Australia,Punjab,612534
3099,elderberry,UK,Delhi,733787
3100,elderberry,UK,Delhi,341216
3101,apple,UK,Delhi,932990
3102,elderberry,India,Punjab,132751
3103,banana,India,Delhi,195339
3104,date,Australia,Tamil Nadu,777482
3105,apple,India,Haryana,218959
3106,banana,Canada,Karnataka,917518
3107,cherry,Canada,Karnataka,546370
3108,cherry,India,Haryana,782946
3109,date,India,Haryana,969671
3110,elderberry,Australia,Karnataka,163478
3111,date,USA,Delhi,601074
3112,elderberry,UK,Haryana,799456
3113,apple,Australia,Karnataka,819252
3114,date,UK,Delhi,304200
3115,cherry,Australia,Haryana,985335
3116,apple,USA,Karnataka,867271
3117,elderberry,India,Tamil Nadu,367642
3118,apple,UK,Karnataka,567380
3119,apple,USA,Punjab,211824
3120,banana,India,Tamil Nadu,545755
3121,apple,USA,Karnataka,786433
3122,elderberry,Australia,Delhi,100999
3123,elderberry,USA,Haryana,232420
3124,elderberry,USA,Tamil Nadu,236609
3125,elderberry,India,Delhi,777742
3126,banana,USA,Punjab,822243
3127,date,UK,Karnataka,526900
3128,cherry,USA,Karnataka,567811
3129,elderberry,India,Delhi,732907
3130,date,Australia,Tamil Nadu,625500
3131,banana,UK,Tamil Nadu,823889
3132,date,USA,Tamil Nadu,734430
3133,banana,USA,Punjab,574293
3134,date,Australia,Punjab,493100
3135,date,Canada,Delhi,489069
3136,cherry,UK,Karnataka,460146
3137,date,India,Karnataka,576687
3138,date,UK,Delhi,925213
3139,date,Canada,Haryana,266636
3140,banana,USA,Karnataka,528677
3141,apple,USA,Haryana,699913
3142,cherry,Canada,Karnataka,703678
3143,date,UK,Punjab,726521
3144,elderberry,UK,Delhi,643424
3145,cherry,Canada,Haryana,653621
3146,elderberry,Canada,Haryana,186956
3147,date,Canada,Haryana,651599
3148,apple,Canada,Delhi,512784
3149,apple,India,Haryana,853814
3150,banana,Canada,Tamil Nadu,131006
3151,cherry,India,Delhi,971826
3152,elderberry,India,Tamil Nadu,950340
3153,cherry,USA,Tamil Nadu,686018
3154,date,USA,Karnataka,740650
3155,date,Australia,Punjab,817518
3156,apple,India,Karnataka,989052
3157,apple,India,Tamil Nadu,485562
3158,cherry,UK,Punjab,332671
3159,apple,USA,Haryana,789688
3160,banana,Canada,Karnataka,340856
3161,apple,Canada,Delhi,624695
3162,apple,India,Haryana,245476
3163,apple,UK,Punjab,558255
3164,elderberry,USA,Haryana,348624
3165,date,India,Haryana,569541
3166,cherry,UK,Haryana,453537
3167,cherry,India,Delhi,889756
3168,elderberry,Australia,Karnataka,161895
3169,elderberry,Canada,Delhi,489338
3170,date,India,Karnataka,132153
3171,apple,USA,Tamil Nadu,110871
3172,banana,India,Haryana,746022
3173,elderberry,Canada,Punjab,960507
3174,date,Canada,Tamil Nadu,871936
3175,banana,Canada,Karnataka,211642
3176,date,UK,Tamil Nadu,953432
3177,elderberry,India,Tamil Nadu,987133
3178,elderberry,USA,Punjab,631616
3179,apple,Canada,Haryana,847292
3180,apple,USA,Karnataka,381121
3181,date,Australia,Punjab,266283
3182,date,Canada,Delhi,319282
3183,cherry,UK,Delhi,148682
3184,apple,India,Tamil Nadu,612727
3185,banana,India,Tamil Nadu,338240
3186,cherry,UK,Haryana,485733
3187,apple,UK,Punjab,977298
3188,date,Australia,Delhi,420728
3189,cherry,Australia,Haryana,798903
3190,cherry,Canada,Tamil Nadu,355219
3191,banana,Australia,Delhi,463071
3192,apple,Canada,Haryana,115412
3193,cherry,UK,Punjab,217564
3194,cherry,India,Punjab,202987
3195,date,Canada,Punjab,979120
3196,date,Canada,Tamil Nadu,159054
3197,elderberry,Australia,Delhi,758272
3198,elderberry,India,Punjab,554691
3199,elderberry,Australia,Karnataka,475545
3200,banana,USA,Haryana,490365
3201,apple,Australia,Tamil Nadu,863778
3202,elderberry,Canada,Karnataka,868444
3203,banana,UK,Haryana,803207
3204,elderberry,UK,Punjab,533557
3205,cherry,USA,Tamil Nadu,152326
3206,date,USA,Karnataka,772427
3207,date,Australia,Delhi,958750
3208,date,Canada,Haryana,959096
3209,cherry,India,Karnataka,496851
3210,apple,Australia,Haryana,586222
3211,date,Canada,Punjab,568982
3212,date,UK,Delhi,533338
3213,cherry,USA,Haryana,697657
3214,banana,India,Delhi,947479
3215,elderberry,UK,Delhi,197640
3216,banana,UK,Punjab,960133
3217,apple,India,Karnataka,802827
3218,date,USA,Haryana,191413
3219,banana,India,Tamil Nadu,432156
3220,cherry,USA,Haryana,759724
3221,elderberry,India,Karnataka,185148
3222,apple,UK,Delhi,225942
3223,apple,USA,Haryana,773613
3224,cherry,UK,Punjab,207593
3225,date,India,Karnataka,402291
3226,apple,USA,Delhi,859023
3227,date,Australia,Delhi,691980
3228,date,UK,Punjab,718159
3229,date,India,Punjab,152750
3230,apple,Australia,Karnataka,165210
3231,apple,UK,Punjab,978537
3232,elderberry,Australia,Tamil Nadu,410855
3233,date,USA,Punjab,642038
3234,cherry,India,Karnataka,131967
3235,date,USA,Tamil Nadu,997597
3236,elderberry,India,Delhi,713858
3237,banana,Canada,Punjab,536613
3238,banana,Canada,Karnataka,680137
3239,elderberry,India,Delhi,927192
3240,elderberry,India,Delhi,983957
3241,date,UK,Haryana,797934
3242,date,Canada,Delhi,847229
3243,date,Canada,Punjab,182656
3244,date,Australia,Tamil Nadu,739824
3245,apple,USA,Tamil Nadu,678907
3246,apple,India,Delhi,581722
3247,elderberry,Canada,Karnataka,153844
3248,cherry,Australia,Tamil Nadu,393694
3249,apple,India,Tamil Nadu,339853
3250,date,Canada,Punjab,518664
3251,banana,USA,Delhi,545212
3252,cherry,UK,Karnataka,513063
3253,apple,Australia,Karnataka,933181
3254,elderberry,USA,Tamil Nadu,349423
3255,date,UK,Punjab,560142
3256,banana,UK,Haryana,514800
3257,apple,Australia,Delhi,730756
3258,apple,India,Tamil Nadu,404959
3259,elderberry,USA,Karnataka,262957
3260,cherry,Australia,Delhi,436564
3261,elderberry,USA,Delhi,218289
3262,elderberry,India,Haryana,746729
3263,banana,USA,Haryana,938945
3264,cherry,UK,Delhi,945207
3265,date,UK,Delhi,796201
3266,apple,Australia,Karnataka,459800
3267,date,India,Delhi,311199
3268,cherry,Australia,Delhi,103299
3269,banana,India,Karnataka,214609
3270,date,Canada,Tamil Nadu,783637
3271,cherry,Canada,Punjab,709679
3272,date,Australia,Punjab,360201
3273,banana,Canada,Karnataka,401538
3274,elderberry,UK,Delhi,202271
3275,elderberry,UK,Tamil Nadu,242747
3276,elderberry,USA,Tamil Nadu,802328
3277,date,Canada,Punjab,599629
3278,cherry,Canada,Karnataka,434893
3279,banana,Australia,Haryana,230163
3280,cherry,India,Haryana,762145
3281,elderberry,India,Punjab,580543
3282,elderberry,India,Haryana,354260
3283,cherry,UK,Delhi,389212
3284,banana,India,Punjab,747747
3285,date,USA,Punjab,285355
3286,date,Canada,Karnataka,610380
3287,apple,Canada,Punjab,177845
3288,date,USA,Haryana,147908
3289,date,India,Haryana,462408
3290,apple,India,Haryana,807473
3291,elderberry,UK,Delhi,375634
3292,cherry,Australia,Haryana,282490
3293,cherry,USA,Haryana,822133
3294,date,Canada,Tamil Nadu,804515
3295,elderberry,India,Karnataka,413114
3296,cherry,India,Punjab,277038
3297,cherry,UK,Haryana,811521
3298,date,UK,Karnataka,849161
3299,banana,UK,Punjab,494497
3300,cherry,UK,Haryana,864412
3301,elderberry,USA,Haryana,589717
3302,apple,UK,Tamil Nadu,856846
3303,date,Australia,Punjab,316334
3304,apple,UK,Delhi,504471
3305,date,UK,Karnataka,450875
3306,date,USA,Punjab,565087
3307,banana,USA,Karnataka,398974
3308,banana,Australia,Punjab,901194
3309,elderberry,USA,Tamil Nadu,568324
3310,banana,Canada,Delhi,163821
3311,apple,Australia,Tamil Nadu,204676
3312,cherry,USA,Haryana,734535
3313,cherry,UK,Delhi,710116
3314,date,Australia,Delhi,660371
3315,banana,USA,Karnataka,650915
3316,date,India,Punjab,618367
3317,banana,UK,Punjab,633641
3318,apple,India,Tamil Nadu,993862
3319,date,USA,Punjab,448320
3320,date,Canada,Delhi,369494
3321,date,India,Haryana,251138
3322,banana,India,Delhi,597688
3323,apple,Canada,Punjab,348852
3324,banana,USA,Punjab,975896
3325,elderberry,India,Punjab,843017
3326,date,Canada,Delhi,478853
3327,date,UK,Karnataka,850197
3328,cherry,USA,Haryana,961769
3329,date,USA,Punjab,369436
3330,elderberry,USA,Tamil Nadu,294472
3331,date,India,Karnataka,352625
3332,cherry,Canada,Delhi,108832
3333,date,India,Haryana,982301
3334,banana,UK,Karnataka,634491
3335,cherry,UK,Punjab,506520
3336,date,India,Delhi,921307
3337,banana,UK,Tamil Nadu,808052
3338,elderberry,India,Karnataka,294254
3339,apple,USA,Tamil Nadu,927567
3340,banana,Canada,Karnataka,387584
3341,apple,USA,Karnataka,941743
3342,banana,UK,Haryana,172160
3343,apple,USA,Haryana,754977
3344,date,UK,Punjab,640297
3345,cherry,Canada,Punjab,299939
3346,date,India,Delhi,211342
3347,elderberry,USA,Haryana,417894
3348,apple,Canada,Delhi,853017
3349,cherry,UK,Haryana,307709
3350,cherry,USA,Karnataka,506724
3351,date,India,Tamil Nadu,925324
3352,elderberry,Canada,Delhi,173406
3353,elderberry,India,Punjab,218750
3354,apple,India,Delhi,328382
3355,banana,Canada,Tamil Nadu,710974
3356,banana,Canada,Karnataka,582427
3357,banana,UK,Delhi,791034
3358,date,UK,Punjab,700139
3359,elderberry,USA,Haryana,650943
3360,banana,USA,Delhi,809463
3361,elderberry,Canada,Haryana,531879
3362,apple,USA,Haryana,759596
3363,cherry,USA,Delhi,906765
3364,banana,USA,Karnataka,153986
3365,date,Australia,Tamil Nadu,152350
3366,cherry,Australia,Karnataka,484884
3367,cherry,Canada,Haryana,530087
3368,apple,India,Punjab,855658
3369,date,Canada,Haryana,357088
3370,cherry,UK,Punjab,225084
3371,elderberry,India,Tamil Nadu,783626
3372,cherry,UK,Delhi,765982
3373,apple,Canada,Haryana,114955
3374,elderberry,UK,Tamil Nadu,702229
3375,banana,USA,Karnataka,517997
3376,apple,India,Tamil Nadu,711115
3377,date,USA,Tamil Nadu,998619
3378,elderberry,Australia,Delhi,563132
3379,elderberry,Canada,Delhi,711016
3380,elderberry,UK,Delhi,937108
3381,apple,Australia,Karnataka,548960
3382,date,UK,Tamil Nadu,885255
3383,elderberry,India,Haryana,439694
3384,apple,USA,Karnataka,487908
3385,cherry,Canada,Tamil Nadu,461638
3386,cherry,India,Punjab,164203
3387,banana,Australia,Karnataka,685298
3388,date,Canada,Delhi,550139
3389,banana,Canada,Karnataka,728037
3390,elderberry,USA,Karnataka,659208
3391,cherry,USA,Haryana,332874
3392,elderberry,UK,Haryana,732778
3393,apple,India,Karnataka,752075
3394,apple,USA,Punjab,227463
3395,banana,Canada,Tamil Nadu,808952
3396,cherry,USA,Karnataka,882498
3397,banana,Australia,Karnataka,275118
3398,cherry,India,Punjab,848478
3399,apple,Canada,Punjab,601232
3400,date,India,Punjab,374373
3401,apple,India,Haryana,466955
3402,cherry,UK,Karnataka,814396
3403,elderberry,USA,Delhi,810272
3404,cherry,USA,Tamil Nadu,224057
3405,date,India,Karnataka,597465
3406,apple,Canada,Delhi,805186
3407,elderberry,Australia,Karnataka,957009
3408,banana,USA,Delhi,935022
3409,banana,Australia,Tamil Nadu,449192
3410,banana,Australia,Delhi,582371
3411,elderberry,USA,Tamil Nadu,595729
3412,banana,UK,Delhi,805527
3413,apple,Australia,Karnataka,762853
3414,apple,India,Delhi,482989
3415,apple,UK,Haryana,810511
3416,cherry,Australia,Karnataka,369170
3417,banana,Canada,Haryana,703958
3418,elderberry,USA,Tamil Nadu,547274
3419,cherry,UK,Haryana,940494
3420,elderberry,UK,Punjab,748544
3421,elderberry,Canada,Punjab,356786
3422,date,UK,Tamil Nadu,197383
3423,apple,Canada,Karnataka,869351
3424,date,Australia,Tamil Nadu,651604
3425,date,Canada,Delhi,870203
3426,date,USA,Tamil Nadu,776115
3427,elderberry,Canada,Delhi,761058
3428,elderberry,UK,Delhi,588014
3429,date,India,Haryana,940147
3430,date,India,Haryana,431844
3431,date,India,Tamil Nadu,978915
3432,elderberry,USA,Haryana,426437
3433,banana,UK,Punjab,298351
3434,date,Canada,Karnataka,179986
3435,elderberry,Australia,Tamil Nadu,987521
3436,apple,India,Punjab,637811
3437,apple,UK,Punjab,315514
3438,cherry,India,Delhi,955570
3439,cherry,USA,Karnataka,345031
3440,elderberry,UK,Haryana,824124
3441,elderberry,India,Delhi,942395
3442,elderberry,Canada,Tamil Nadu,514767
3443,elderberry,UK,Karnataka,852032
3444,apple,UK,Delhi,294950
3445,date,India,Delhi,244962
3446,cherry,UK,Tamil Nadu,408969
3447,banana,Canada,Tamil Nadu,117733
3448,banana,India,Tamil Nadu,997222
3449,apple,USA,Tamil Nadu,210698
3450,elderberry,UK,Haryana,126218
3451,date,Canada,Punjab,492224
3452,apple,Canada,Haryana,351132
3453,apple,USA,Tamil Nadu,916662
3454,cherry,UK,Karnataka,959297
3455,cherry,UK,Delhi,741542
3456,banana,UK,Karnataka,108804
3457,date,India,Haryana,708229
3458,cherry,UK,Tamil Nadu,253402
3459,apple,USA,Karnataka,790554
3460,banana,Australia,Punjab,588235
3461,date,USA,Punjab,416741
3462,apple,UK,Haryana,604931
3463,date,USA,Punjab,125969
3464,cherry,India,Punjab,538755
3465,apple,Australia,Punjab,736687
3466,cherry,Australia,Punjab,243748
3467,banana,Australia,Delhi,870000
3468,apple,Australia,Haryana,474788
3469,date,Australia,Delhi,639301
3470,apple,USA,Delhi,746823
3471,banana,India,Punjab,883736
3472,apple,UK,Delhi,192206
3473,cherry,UK,Tamil Nadu,351942
3474,apple,USA,Delhi,914316
3475,cherry,Canada,Haryana,439943
3476,cherry,Canada,Karnataka,854962
3477,date,UK,Punjab,682795
3478,elderberry,Australia,Tamil Nadu,267183
3479,apple,India,Haryana,628322
3480,apple,India,Punjab,653721
3481,banana,Canada,Delhi,147826
3482,cherry,Australia,Karnataka,836554
3483,elderberry,India,Tamil Nadu,719964
3484,apple,Australia,Haryana,326263
3485,elderberry,Australia,Karnataka,174462
3486,elderberry,India,Punjab,188974
3487,elderberry,USA,Delhi,727278
3488,cherry,India,Haryana,979627
3489,cherry,USA,Haryana,286545
3490,apple,Australia,Karnataka,218767
3491,apple,UK,Tamil Nadu,531233
3492,cherry,USA,Tamil Nadu,286650
3493,apple,Canada,Tamil Nadu,873238
3494,apple,USA,Delhi,900350
3495,elderberry,Canada,Tamil Nadu,255630
3496,cherry,Canada,Haryana,492469
3497,apple,USA,Haryana,828029
3498,banana,India,Karnataka,593838
3499,elderberry,USA,Karnataka,208733
3500,elderberry,USA,Punjab,588496
3501,date,UK,Punjab,522104
3502,apple,USA,Tamil Nadu,320488
3503,date,USA,Haryana,857340
3504,date,India,Tamil Nadu,459508
3505,apple,Australia,Tamil Nadu,755858
3506,apple,India,Haryana,464493
3507,cherry,Australia,Delhi,655470
3508,date,Australia,Punjab,122432
3509,banana,Canada,Haryana,374036
3510,elderberry,India,Punjab,404610
3511,elderberry,India,Haryana,604472
3512,banana,USA,Karnataka,289555
3513,elderberry,UK,Punjab,742041
3514,cherry,Canada,Punjab,588097
3515,banana,Australia,Haryana,712888
3516,elderberry,Australia,Haryana,228093
3517,elderberry,India,Tamil Nadu,592713
3518,banana,USA,Delhi,585895
3519,date,USA,Punjab,504951
3520,elderberry,USA,Haryana,908832
3521,apple,USA,Delhi,355820
3522,apple,USA,Punjab,504000
3523,apple,India,Karnataka,416068
3524,date,USA,Delhi,567586
3525,cherry,India,Tamil Nadu,669459
3526,elderberry,Canada,Haryana,605325
3527,cherry,USA,Delhi,579449
3528,cherry,UK,Punjab,150770
3529,cherry,Canada,Delhi,863768
3530,apple,Australia,Delhi,470697
3531,apple,Canada,Punjab,485912
3532,apple,Australia,Karnataka,334432
3533,banana,Canada,Punjab,551168
3534,banana,USA,Karnataka,909078
3535,cherry,Australia,Delhi,722796
3536,date,Canada,Punjab,204883
3537,date,UK,Tamil Nadu,122029
3538,cherry,Australia,Delhi,688990
3539,banana,Australia,Tamil Nadu,378707
3540,elderberry,India,Delhi,886240
3541,cherry,Canada,Haryana,180762
3542,banana,Australia,Tamil Nadu,542714
3543,apple,Canada,Delhi,504212
3544,elderberry,USA,Tamil Nadu,253324
3545,banana,India,Delhi,943566
3546,apple,India,Delhi,515868
3547,cherry,Australia,Karnataka,229500
3548,cherry,USA,Haryana,228870
3549,apple,Australia,Haryana,609648
3550,elderberry,UK,Karnataka,692817
3551,cherry,UK,Tamil Nadu,568390
3552,elderberry,India,Delhi,950755
3553,elderberry,Canada,Tamil Nadu,842077
3554,date,Canada,Haryana,553642
3555,apple,USA,Punjab,828091
3556,banana,India,Delhi,982065
3557,date,USA,Tamil Nadu,425981
3558,banana,UK,Karnataka,121376
3559,banana,UK,Delhi,285008
3560,cherry,India,Tamil Nadu,731873
3561,banana,India,Karnataka,397479
3562,elderberry,Australia,Delhi,324870
3563,cherry,USA,Delhi,196638
3564,cherry,India,Tamil Nadu,280427
3565,cherry,Canada,Karnataka,603376
3566,banana,Australia,Punjab,713121
3567,apple,UK,Punjab,308975
3568,elderberry,Canada,Karnataka,889983
3569,banana,India,Tamil Nadu,154731
3570,apple,Australia,Karnataka,448524
3571,elderberry,UK,Karnataka,173834
3572,apple,Australia,Haryana,710458
3573,cherry,India,Punjab,666163
3574,date,Canada,Delhi,906717
3575,banana,Canada,Punjab,278435
3576,banana,India,Karnataka,630648
3577,elderberry,Australia,Haryana,659577
3578,cherry,Australia,Karnataka,344014
3579,cherry,Australia,Delhi,885030
3580,cherry,Australia,Delhi,312411
3581,elderberry,India,Tamil Nadu,197104
3582,banana,Australia,Punjab,212086
3583,elderberry,UK,Karnataka,721376
3584,date,UK,Punjab,565499
3585,apple,USA,Punjab,560294
3586,elderberry,UK,Haryana,343752
3587,elderberry,UK,Haryana,281704
3588,elderberry,UK,Punjab,198225
3589,elderberry,Canada,Tamil Nadu,757158
3590,banana,Canada,Tamil Nadu,557169
3591,elderberry,UK,Haryana,241495
3592,banana,Australia,Tamil Nadu,935818
3593,elderberry,India,Haryana,444805
3594,banana,UK,Punjab,560588
3595,date,USA,Punjab,427154
3596,date,UK,Tamil Nadu,709698
3597,apple,India,Haryana,856538
3598,date,Canada,Karnataka,565235
3599,banana,USA,Karnataka,701260
3600,banana,Australia,Punjab,179383
3601,elderberry,India,Karnataka,362127
3602,date,Australia,Delhi,782634
3603,date,Australia,Delhi,362481
3604,apple,UK,Karnataka,709752
3605,banana,Canada,Delhi,904402
3606,elderberry,USA,Haryana,206613
3607,cherry,Canada,Punjab,119952
3608,cherry,India,Delhi,628275
3609,elderberry,USA,Karnataka,255583
3610,date,UK,Haryana,613358
3611,cherry,Australia,Tamil Nadu,832933
3612,elderberry,UK,Punjab,926597
3613,apple,Canada,Delhi,494517
3614,cherry,USA,Punjab,136902
3615,elderberry,India,Haryana,473656
3616,date,Australia,Haryana,599520
3617,banana,USA,Karnataka,571016
3618,cherry,USA,Punjab,732045
3619,date,Canada,Tamil Nadu,680980
3620,apple,India,Tamil Nadu,674007
3621,elderberry,Australia,Delhi,143652
3622,elderberry,Canada,Haryana,177058
